,,mean,std
_PANCAN_mirna_LUAD,LUAD,39.7,1.0999999999999999
lymphovascular_invasion_present,BLCA,53.1,0.9433981132056604
adjacent_hepatic_tissue_inflammation_extent_type,LIHC,54.6,0.4898979485566391
histological_type,LGG,55.6,0.7999999999999989
family_history_of_cancer,LGG,55.2,1.1661903789690622
oct_embedded,UCEC,57.1,0.5385164807134475
oct_embedded,LIHC,64.6,0.66332495807108
lymphovascular_invasion_present,HNSC,64.3,1.1874342087037917
oct_embedded,THCA,66.8,0.6
mental_status_changes,GBMLGG,67.3,0.6403124237432849
colon_polyps_present,COADREAD,68.8,0.6
_PANCAN_mirna_LAML,LAML,71.3,1.3453624047073711
histological_type,UCEC,71.7,0.6403124237432849
anatomic_neoplasm_subdivision,OV,72.0,0.0
_PANCAN_DNAMethyl_HNSC,HNSC,75.1,1.2206555615733703
_EVENT,GBMLGG,74.0,0.4472135954999579
gender,LUNG,77.1,0.8306623862918076
gender,LIHC,78.2,0.4
oct_embedded,SKCM,79.6,0.9165151389911681
oct_embedded,SARC,80.1,0.30000000000000004
gender,COAD,79.8,1.3266499161421599
gender,THCA,80.8,0.4
histological_type,PCPG,84.5,0.5
Metastasis_nature2012,BRCA,98.0,0.0
gender,BRCA,99.0,0.0
