,,mean,std
Expression_Subtype,LUAD,38.0,0.0
Expression_Subtype,LUNG,38.0,0.0
GeneExp_Subtype,GBM,33.0,0.0
Metastasis_nature2012,BRCA,98.0,0.0
Node_nature2012,BRCA,49.0,0.0
PAM50Call_RNAseq,BRCA,45.0,0.0
_EVENT,BLCA,55.00000000000001,0.0
_EVENT,BRCA,83.0,0.0
_EVENT,CESC,75.0,0.0
_EVENT,COAD,75.0,0.0
_EVENT,COADREAD,76.0,0.0
_EVENT,ESCA,57.99999999999999,0.0
_EVENT,GBM,77.0,0.0
_EVENT,GBMLGG,62.0,0.0
_EVENT,HNSC,55.00000000000001,0.0
_EVENT,KIRP,84.0,0.0
_EVENT,LAML,65.0,0.0
_EVENT,LGG,75.0,0.0
_EVENT,LIHC,61.0,0.0
_EVENT,LUAD,63.0,0.0
_EVENT,LUNG,59.0,0.0
_EVENT,LUSC,55.00000000000001,0.0
_EVENT,OV,60.0,0.0
_EVENT,PAAD,52.0,0.0
_EVENT,SARC,63.0,0.0
_EVENT,SKCM,52.0,0.0
_EVENT,STAD,61.0,0.0
_EVENT,THCA,97.0,0.0
_EVENT,UCEC,81.0,0.0
_PANCAN_DNAMethyl_BRCA,BRCA,30.0,0.0
_PANCAN_DNAMethyl_HNSC,HNSC,41.0,0.0
_PANCAN_DNAMethyl_LUAD,LUAD,43.0,0.0
_PANCAN_DNAMethyl_LUSC,LUSC,38.0,0.0
_PANCAN_mirna_BRCA,BRCA,32.0,0.0
_PANCAN_mirna_HNSC,HNSC,38.0,0.0
_PANCAN_mirna_LAML,LAML,35.0,0.0
_PANCAN_mirna_LUAD,LUAD,31.0,0.0
_PANCAN_mirna_LUSC,LUSC,56.99999999999999,0.0
_PANCAN_mirna_OV,OV,28.000000000000004,0.0
acute_myeloid_leukemia_calgb_cytogenetics_risk_category,LAML,60.0,0.0
adjacent_hepatic_tissue_inflammation_extent_type,LIHC,52.0,0.0
alcohol_history_documented,ESCA,73.0,0.0
alcohol_history_documented,HNSC,67.0,0.0
alcohol_history_documented,PAAD,61.0,0.0
anatomic_neoplasm_subdivision,OV,73.0,0.0
anatomic_neoplasm_subdivision,PAAD,77.0,0.0
animal_insect_allergy_history,GBMLGG,95.0,0.0
animal_insect_allergy_history,LGG,95.0,0.0
antireflux_treatment,STAD,79.0,0.0
asthma_history,GBMLGG,94.0,0.0
asthma_history,LGG,94.0,0.0
barretts_esophagus,STAD,91.0,0.0
biochemical_recurrence,PRAD,87.0,0.0
birth_control_pill_history_usage_category,CESC,55.00000000000001,0.0
clinical_M,KIRP,75.0,0.0
clinical_stage,KIRP,66.0,0.0
colon_polyps_present,COAD,66.0,0.0
colon_polyps_present,COADREAD,71.0,0.0
family_history_of_cancer,GBMLGG,62.0,0.0
family_history_of_cancer,LGG,62.0,0.0
family_history_of_primary_brain_tumor,GBMLGG,96.0,0.0
family_history_of_primary_brain_tumor,LGG,96.0,0.0
family_history_of_stomach_cancer,STAD,95.0,0.0
gender,BLCA,73.0,0.0
gender,BRCA,99.0,0.0
gender,COAD,54.0,0.0
gender,COADREAD,54.0,0.0
gender,ESCA,84.0,0.0
gender,GBM,65.0,0.0
gender,GBMLGG,56.99999999999999,0.0
gender,HNSC,73.0,0.0
gender,KIRP,73.0,0.0
gender,LAML,54.0,0.0
gender,LGG,55.00000000000001,0.0
gender,LIHC,66.0,0.0
gender,LUAD,54.0,0.0
gender,LUNG,60.0,0.0
gender,LUSC,74.0,0.0
gender,PAAD,55.00000000000001,0.0
gender,PCPG,55.00000000000001,0.0
gender,SARC,55.00000000000001,0.0
gender,SKCM,62.0,0.0
gender,STAD,65.0,0.0
gender,THCA,73.0,0.0
histological_type,ESCA,49.0,0.0
histological_type,LGG,38.0,0.0
histological_type,PCPG,82.0,0.0
histological_type,PRAD,97.0,0.0
histological_type,UCEC,62.0,0.0
lymphatic_invasion,COAD,69.0,0.0
lymphatic_invasion,COADREAD,69.0,0.0
lymphovascular_invasion_present,BLCA,55.00000000000001,0.0
lymphovascular_invasion_present,HNSC,64.0,0.0
menopause_status,BRCA,69.0,0.0
mental_status_changes,GBMLGG,75.0,0.0
mental_status_changes,LGG,75.0,0.0
metastatic_diagnosis,SARC,67.0,0.0
oct_embedded,BLCA,85.0,0.0
oct_embedded,BRCA,62.0,0.0
oct_embedded,CESC,55.00000000000001,0.0
oct_embedded,ESCA,57.99999999999999,0.0
oct_embedded,GBMLGG,63.0,0.0
oct_embedded,HNSC,51.0,0.0
oct_embedded,KIRP,59.0,0.0
oct_embedded,LGG,60.0,0.0
oct_embedded,LIHC,65.0,0.0
oct_embedded,LUNG,69.0,0.0
oct_embedded,PRAD,89.0,0.0
oct_embedded,SARC,85.0,0.0
oct_embedded,SKCM,80.0,0.0
oct_embedded,STAD,60.0,0.0
oct_embedded,THCA,57.99999999999999,0.0
oct_embedded,UCEC,65.0,0.0
synchronous_colon_cancer_present,COAD,95.0,0.0
synchronous_colon_cancer_present,COADREAD,96.0,0.0
tumor_tissue_site,COADREAD,76.0,0.0
tumor_tissue_site,GBMLGG,76.0,0.0
tumor_tissue_site,PCPG,82.0,0.0
venous_invasion,COAD,77.0,0.0
venous_invasion,COADREAD,77.0,0.0
white_cell_count_result,KIRP,74.0,0.0
